STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
DL1ZP-14;S3140515;2021-08-10 06:53:00;49.9199;8.75853;87;13;300;Clb=-10.3m/s t=15.2C h=83.8% p=988.4hPa 402.700 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.4
MALAO2-14;S3140515;2021-08-10 06:52:55;49.9199;8.75847;98;17;310;Clb=-10.3m/s p=987.2hPa t=15.1C h=84.3% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;S3140515;2021-08-10 06:52:52;49.9199;8.75829;89;17;341;Clb=-10.3m/s p=983.6hPa t=15.5C h=79.8% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140515;2021-08-10 06:52:49;49.9199;8.7581;74;19;373;Clb=-10.3m/s p=980.1hPa t=15.7C h=77.5% 402.70MHz Type=RS41-SGP TxOff=2h55m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;S3140515;2021-08-10 06:52:46;49.9198;8.75792;64;20;404;Clb=-10.6m/s p=976.5hPa t=16.1C h=73.7% 402.70MHz Type=RS41-SGP TxOff=2h55m batt=2.7V Details zu http://radiosondy.info
MALAO2-14;S3140515;2021-08-10 06:52:43;49.9198;8.75771;62;22;437;Clb=-10.4m/s p=972.6hPa t=16.9C h=66.1% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;S3140515;2021-08-10 06:52:40;49.9197;8.75749;67;22;468;Clb=-10.0m/s p=969.1hPa t=16.7C h=64.8% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140515;2021-08-10 06:52:37;49.9196;8.75725;65;22;498;Clb=-10.2m/s p=965.4hPa t=16.4C h=64.1% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;S3140515;2021-08-10 06:52:35;49.9196;8.75709;70;24;519;Clb=-10.6m/s p=963.2hPa t=16.3C h=63.5% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
MALAO2-14;S3140515;2021-08-10 06:52:31;49.9195;8.75675;73;26;562;Clb=-9.7m/s p=958.5hPa t=16.1C h=60.9% 402.70MHz Type=RS41-SGP TxOff=2h55m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DK1FUN-14;S3140515;2021-08-10 06:52:29;49.9195;8.75655;78;28;581;Clb=-10.2m/s p=956.0hPa t=16.1C h=60.2% 402.70MHz Type=RS41-SGP TxOff=2h55m batt=2.7V Details zu http://radiosondy.info
MALAO2-14;S3140515;2021-08-10 06:52:25;49.9194;8.75615;80;28;624;Clb=-10.8m/s p=951.3hPa t=15.9C h=60.1% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DAVRU1-11;S3140515;2021-08-10 06:52:24;49.9194;8.75605;83;28;636;Clb=-11.1m/s p=950.1hPa t=15.8C h=60.1% 402.70MHz Type=RS41-SGP rssi=65.5dB sondemod 1.36h
DK1FUN-14;S3140515;2021-08-10 06:52:23;49.9194;8.75594;83;28;646;Clb=-10.5m/s p=948.9hPa t=15.8C h=60.2% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DAVRU1-11;S3140515;2021-08-10 06:52:21;49.9194;8.75574;81;28;668;Clb=-10.6m/s p=946.6hPa t=15.6C h=60.5% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.6V
MALAO2-14;S3140515;2021-08-10 06:52:19;49.9194;8.75552;80;28;689;Clb=-10.8m/s p=944.1hPa t=15.5C h=61.0% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DAVRU1-11;S3140515;2021-08-10 06:52:18;49.9194;8.75541;80;30;699;Clb=-10.6m/s p=943.1hPa t=15.4C h=61.1% 402.70MHz Type=RS41-SGP
DK1FUN-14;S3140515;2021-08-10 06:52:17;49.9194;8.7553;83;28;710;Clb=-10.8m/s p=941.8hPa t=15.3C h=61.2% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DAVRU1-11;S3140515;2021-08-10 06:52:15;49.9193;8.75508;81;28;732;Clb=-11.0m/s p=939.4hPa t=15.2C h=61.8% 402.70MHz Type=RS41-SGP FN=8186 Sats=8 powerup=2h16m26s
MALAO2-14;S3140515;2021-08-10 06:52:13;49.9193;8.75486;80;28;754;Clb=-10.9m/s p=937.1hPa t=15.0C h=62.4% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DAVRU1-11;S3140515;2021-08-10 06:52:12;49.9193;8.75476;82;28;764;Clb=-10.8m/s p=935.7hPa t=14.9C h=62.6% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.6V rssi=65.3dB sondemod 1.36h
DK1FUN-14;S3140515;2021-08-10 06:52:11;49.9193;8.75464;81;28;776;Clb=-10.6m/s p=934.6hPa t=14.8C h=63.0% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.6V Details zu http://radiosondy.info
DAVRU1-11;S3140515;2021-08-10 06:52:09;49.9193;8.75443;82;30;797;Clb=-10.6m/s p=932.1hPa t=14.6C h=63.6% 402.70MHz Type=RS41-SGP
MALAO2-14;S3140515;2021-08-10 06:52:07;49.9192;8.75421;84;30;818;Clb=-10.5m/s p=929.8hPa t=14.5C h=63.8% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DAVRU1-11;S3140515;2021-08-10 06:52:06;49.9192;8.7541;83;30;828;Clb=-10.5m/s p=928.6hPa t=14.4C h=63.1% 402.70MHz Type=RS41-SGP
DK1FUN-14;S3140515;2021-08-10 06:52:05;49.9192;8.75398;84;31;840;Clb=-10.4m/s p=927.6hPa t=14.4C h=62.9% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DAVRU1-11;S3140515;2021-08-10 06:52:03;49.9192;8.75375;80;31;861;Clb=-10.9m/s p=925.2hPa t=14.2C h=63.1% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.7V FN=8174 Sats=7 powerup=2h16m14s
MALAO2-14;S3140515;2021-08-10 06:52:01;49.9192;8.75351;80;31;883;Clb=-11.1m/s p=922.7hPa t=14.0C h=63.5% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DAVRU1-11;S3140515;2021-08-10 06:52:00;49.9192;8.7534;79;31;894;Clb=-10.8m/s p=921.4hPa t=13.9C h=63.7% 402.70MHz Type=RS41-SGP rssi=69.5dB sondemod 1.36h
DG7FDE-14;S3140515;2021-08-10 06:51:59;49.9191;8.75328;80;31;905;Clb=-10.4m/s p=920.4hPa t=13.8C h=64.3% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DAVRU1-11;S3140515;2021-08-10 06:51:58;49.9191;8.75304;82;30;926;Clb=-10.8m/s p=918.0hPa t=13.7C h=64.8% 402.70MHz Type=RS41-SGP
DAVRU1-11;S3140515;2021-08-10 06:51:57;49.9191;8.75304;82;30;926;Clb=-10.8m/s p=918.0hPa t=13.7C h=64.8% 402.70MHz Type=RS41-SGP
MALAO2-14;S3140515;2021-08-10 06:51:55;49.9191;8.75281;76;30;948;Clb=-10.8m/s p=915.7hPa t=13.5C h=65.2% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.7V Radiosonde Tracker - Manuel Lausmann
DAVRU1-11;S3140515;2021-08-10 06:51:54;49.9191;8.75269;75;30;958;Clb=-11.2m/s p=914.5hPa t=13.4C h=65.5% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.7V
DG7FDE-14;S3140515;2021-08-10 06:51:53;49.9191;8.75258;76;30;970;Clb=-11.1m/s p=913.3hPa t=13.3C h=65.9% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.7V vy 73 de DG7FDE
DAVRU1-11;S3140515;2021-08-10 06:51:51;49.919;8.75235;75;30;992;Clb=-11.1m/s p=911.0hPa t=13.1C h=66.2% 402.70MHz Type=RS41-SGP FN=8162 Sats=8 powerup=2h16m02s
MALAO2-14;S3140515;2021-08-10 06:51:49;49.919;8.75213;75;30;1014;Clb=-10.7m/s p=908.6hPa t=12.9C h=66.8% 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DG7FDE-14;S3140515;2021-08-10 06:51:47;49.9189;8.75191;75;31;1036;Clb=-11.1m/s p=906.1hPa t=12.7C h=67.4% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DAVRU1-11;S3140515;2021-08-10 06:51:45;49.9189;8.75169;72;31;1058;Clb=-11.2m/s p=903.6hPa t=12.5C h=68.9% 402.70MHz Type=RS41-SGP rssi=69.4dB sondemod 1.36h
DB0SC-14;S3140515;2021-08-10 06:51:43;49.9188;8.75145;75;31;1081;Clb=-11.0m/s t=12.7C 402.70MHz Type=RS41-SGP https://www.darc.de
DG7FDE-14;S3140515;2021-08-10 06:51:41;49.9188;8.75122;74;31;1104;Clb=-11.3m/s p=898.7hPa t=12.1C h=72.6% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DB0SC-14;S3140515;2021-08-10 06:51:37;49.9187;8.75075;72;33;1148;Clb=-11.5m/s t=12.1C 402.70MHz Type=RS41-SGP https://www.darc.de
DG7FDE-14;S3140515;2021-08-10 06:51:35;49.9186;8.75051;70;33;1171;Clb=-11.6m/s p=891.7hPa t=11.5C h=73.8% 402.70MHz Type=RS41-SGP TxOff=2h56m batt=2.7V vy 73 de DG7FDE
DB0SC-14;S3140515;2021-08-10 06:51:31;49.9185;8.75005;63;33;1216;Clb=-11.0m/s t=11.4C 402.70MHz Type=RS41-SGP https://www.darc.de
DL1ZP-14;S3140515;2021-08-10 06:51:30;49.9184;8.74981;66;33;1238;Clb=-11.4m/s t=10.8C h=75.9% p=884.4hPa 402.700 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.4
DG7FDE-14;S3140515;2021-08-10 06:51:29;49.9184;8.74981;67;33;1238;Clb=-11.3m/s p=884.4hPa t=10.8C h=76.0% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DAVRU1-11;S3140515;2021-08-10 06:51:26;49.9183;8.74934;66;33;1285;Clb=-11.7m/s p=879.6hPa t=10.3C h=79.2% 402.70MHz Type=RS41-SGP
DB0SC-14;S3140515;2021-08-10 06:51:25;49.9183;8.74934;66;33;1285;Clb=-11.7m/s t=10.6C 402.70MHz Type=RS41-SGP https://www.darc.de
DG7FDE-14;S3140515;2021-08-10 06:51:23;49.9182;8.74911;67;41;1308;Clb=-11.9m/s p=877.2hPa t=10.0C h=80.4% 402.70MHz Type=RS41-SGP vy 73 de DG7FDE
DB0SC-14;S3140515;2021-08-10 06:51:19;49.9181;8.74864;64;33;1355;Clb=-11.2m/s t=9.9C 402.70MHz Type=RS41-SGP https://www.darc.de
DL6ZAJ-14;S3140515;2021-08-10 06:51:17;49.918;8.74841;64;33;1378;Clb=-11.7m/s p=869.9hPa t=9.2C h=83.7% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140515;2021-08-10 06:51:13;49.9179;8.74795;65;33;1427;Clb=-11.9m/s t=9.2C 402.70MHz Type=RS41-SGP https://www.darc.de
DK1FUN-14;S3140515;2021-08-10 06:51:12;49.9179;8.74784;63;33;1438;Clb=-11.6m/s p=863.7hPa t=8.7C h=86.6% 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140515;2021-08-10 06:51:07;49.9177;8.74726;65;31;1496;Clb=-11.6m/s t=8.5C 402.70MHz Type=RS41-SGP https://www.darc.de
DAVRU1-11;S3140515;2021-08-10 06:51:03;49.9176;8.7468;63;33;1543;Clb=-11.7m/s p=852.7hPa t=7.7C h=89.8% 402.70MHz Type=RS41-SGP TxOff=2h57m batt=2.6V rssi=70.5dB sondemod 1.36h
DB0SC-14;S3140515;2021-08-10 06:51:01;49.9175;8.74656;70;33;1566;Clb=-11.7m/s t=7.9C 402.70MHz Type=RS41-SGP https://www.darc.de
DL1ZP-14;S3140515;2021-08-10 06:51:00;49.9174;8.74633;66;35;1589;Clb=-11.7m/s t=7.4C h=91.2% p=848.0hPa 402.700 MHz Type=RS41-SGP Radiosonde auto_rx v1.5.4
DB0SC-14;S3140515;2021-08-10 06:50:55;49.9173;8.74584;67;35;1636;Clb=-12.2m/s t=7.3C 402.70MHz Type=RS41-SGP https://www.darc.de
DAVRU1-11;S3140515;2021-08-10 06:50:53;49.9172;8.74561;65;35;1661;Clb=-12.1m/s p=840.8hPa t=6.7C h=93.3% 402.70MHz Type=RS41-SGP
MALAO2-14;S3140515;2021-08-10 06:50:49;49.9171;8.74512;65;35;1710;Clb=-12.0m/s p=835.8hPa t=6.5C 402.70MHz Type=RS41-SGP Radiosonde Tracker - Manuel Lausmann
DB0SC-14;S3140515;2021-08-10 06:50:43;49.9168;8.7444;59;37;1781;Clb=-12.2m/s t=6.6C 402.70MHz Type=RS41-SGP https://www.darc.de
DB0SC-14;S3140515;2021-08-10 06:50:37;49.9166;8.74368;67;35;1854;Clb=-11.7m/s t=6.3C 402.70MHz Type=RS41-SGP https://www.darc.de
DH4SBM-12;S3140515;2021-08-10 06:50:36;49.9165;8.74356;62;37;1867;Clb=-11.9m/s p=819.9hPa t=5.8C 402.70MHz Type=RS41-SGP TxOff=2h57m batt=2.6V Details zu http://radiosondy.info
DL3PW-14;S3140515;2021-08-10 06:50:35;49.9165;8.74343;62;37;1879;Clb=-12.2m/s t=6.2C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG5FDG-14;S3140515;2021-08-10 06:50:33;49.9164;8.74318;60;37;1903;Clb=-12.4m/s p=816.2hPa t=5.7C 402.70MHz Type=RS41-SGP TxOff=2h57m batt=2.5V Details zu http://radiosondy.info
DB0SC-14;S3140515;2021-08-10 06:50:32;49.9163;8.74306;64;37;1917;Clb=-11.9m/s t=6.0C 402.70MHz Type=RS41-SGP https://www.darc.de
DK1FUN-14;S3140515;2021-08-10 06:50:31;49.9163;8.74293;63;37;1929;Clb=-11.8m/s p=813.9hPa t=5.5C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL3PW-14;S3140515;2021-08-10 06:50:30;49.9163;8.7428;63;37;1941;Clb=-12.2m/s t=5.8C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG5FDG-14;S3140515;2021-08-10 06:50:27;49.9161;8.74243;64;37;1980;Clb=-12.5m/s p=809.0hPa t=5.3C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140515;2021-08-10 06:50:26;49.9161;8.7423;61;37;1992;Clb=-12.0m/s t=5.6C 402.70MHz Type=RS41-SGP https://www.darc.de
DK1FUN-14;S3140515;2021-08-10 06:50:25;49.916;8.74218;64;37;2004;Clb=-11.9m/s p=806.4hPa t=5.2C 402.70MHz Type=RS41-SGP TxOff=2h58m batt=2.6V Details zu http://radiosondy.info
DAVRU1-11;S3140515;2021-08-10 06:50:24;49.916;8.74191;62;37;2029;Clb=-12.1m/s p=804.0hPa t=5.1C 402.70MHz Type=RS41-SGP rssi=73.7dB sondemod 1.36h
DAVRU1-11;S3140515;2021-08-10 06:50:23;49.916;8.74191;62;37;2029;Clb=-12.1m/s p=804.0hPa t=5.1C 402.70MHz Type=RS41-SGP rssi=73.7dB sondemod 1.36h
DG5FDG-14;S3140515;2021-08-10 06:50:21;49.9159;8.74165;62;37;2053;Clb=-12.3m/s p=801.5hPa t=4.9C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DB0SC-14;S3140515;2021-08-10 06:50:20;49.9158;8.74153;69;39;2065;Clb=-12.4m/s t=5.2C 402.70MHz Type=RS41-SGP https://www.darc.de
DK1FUN-14;S3140515;2021-08-10 06:50:19;49.9158;8.7414;63;39;2079;Clb=-12.5m/s p=799.2hPa t=4.8C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DG5FDG-14;S3140515;2021-08-10 06:50:15;49.9156;8.74086;62;39;2128;Clb=-12.5m/s p=794.1hPa t=4.4C 402.70MHz Type=RS41-SGP TxOff=2h58m batt=2.6V Details zu http://radiosondy.info
